# K,,,
# kkya,kka,kya,
っきゃ,ッキャ,kkya,
っきゅう,ッキュウ,kkyuu,
っきゅ,ッキュ,kkyu,
っきょう,ッキョウ,kkyou,
っきょ,ッキョ,kkyo,
っきい,ッキー,kkii,
っか,ッカ,kka,
っき,ッキ,kki,
っく,ック,kku,
っけ,ッケ,kke,
っこ,ッコ,kko,
きゃ,キャ,kya,
きゅう,キュー,kyuu,
きゅ,キュ,kyu,
きょう,キョー,kyou,
きょ,キョ,kyo,
きい,キー,kii,
くう,クー,kuu,
ぎゃ,ギャ,gya,
ぎゅう,ギュー,gyuu,
ぎゅ,ギュ,gyu,
ぎょう,ギョー,gyou,
ぎょ,ギョ,gyo,
が,ガ,ga,
ぎ,ギ,gi,
ぐう,グー,guu,
ぐ,グ,gu,
げ,ゲ,ge,
ごう,ゴー,gou,
ご,ゴ,go,
か,カ,ka,
き,キ,ki,
くう,クー,kuu,
く,ク,ku,
け,ケ,ke,
こう,コー,kou,
こ,コ,ko,
# S,,,
# ssya,ssa,sya,
っしゃ,ッシャ,ssha,ssya
っしゅう,ッシュー,sshuu,ssyuu
っしゅ,ッシュ,sshu,ssyu
っしぇ,ッシェ,sshe,ssye
っしょう,ッショー,sshou,ssyou
っしょ,ッショ,ssho,ssyo
っしい,ッシー,sshii,ssii
っすう,ッスー,ssuu,
っさ,ッサ,ssa,
っし,ッシ,sshi,ssi
っす,ッス,ssu,
っせ,ッセ,sse,
っそ,ッソ,sso,
しゃ,シャ,sha,
しゅう,シュー,shuu,
しゅ,シュ,shu,
しぇ,シェ,she,
しょう,ショー,shou,
しょ,ショ,sho,
しい,シー,shii,sii
すう,スー,suu,
じゃ,ジャ,ja,
じゅう,ジュウ,juu,
じゅ,ジュ,ju,
じぇ,ジェ,je,
じょう,ジョウ,jou,
じょ,ジョ,jo,
じい,ジー,jii,
ざ,ザ,za,
じ,ジ,ji,zi
ずう,ズー,zuu,
ず,ズ,zu,
ぜ,ゼ,ze,
ぞう,ゾー,zou,
ぞ,ゾ,zo,
さ,サ,sa,
し,シ,shi,si
すう,スー,suu,
す,ス,su,
せ,セ,se,
そう,ソー,sou,
そ,ソ,so,
# T,,,
# ttya,,,
っちゃ,ッチャ,ccha,tcha
っちゅう,ッチュー,cchuu,tchuu
っちゅ,ッチュ,cchu,tchu
っちぇ,ッチェ,cche,tche
っちょう,ッチョー,cchou,tchou
っちょ,ッチョ,ccho,tcho
っつう,ッツー,ttsuu,ttuu
っつ,ッツ,ttsu,ttu
ちゃ,チャ,cha,cya
ちゅう,チュー,chuu,cyuu
ちゅ,チュ,chu,cyu
ちぇ,チェ,che,cye
ちょう,チョー,chou,cyou
ちょ,チョ,cho,cyo
つう,ツー,tsuu,tuu
だ,ダ,da,
ぢ,ヂ,czi,
づう,ヅー,duu,dzuu
づ,ヅ,du,dzu
で,デ,de,
どう,ドー,dou,
ど,ド,do,
た,タ,ta,
ち,チ,chi,ci
つ,ツ,tsu,tu
て,テ,te,
とう,トー,tou,
と,ト,to,
# N,,,
にゃ,ニャ,nya,
にゅう,ニュー,nyuu,
にゅ,ニュ,nyu,
にょう,ニョー,nyou,
にょ,ニョ,nyo,
な,ナ,na,
にい,ニー,nii,
に,ニ,ni,
ぬう,ヌー,nuu,
ぬ,ヌ,nu,
ね,ネ,ne,
のう,ノー,nou,
の,ノ,no,
# P,,,
# ppya,,,
っぴゃ,ッピャ,ppya,
っぴゅう,ッピュー,ppyuu,
っぴゅ,ッピュ,ppyu,
っぴょう,ッピョー,ppyou,
っぴょ,ッピョ,ppyo,
っぴい,ッピー,ppii,
っぱ,ッパ,ppa,
っぴ,ッピ,ppi,
っぷ,ップ,ppu,
っぺ,ッペ,ppe,
っぽ,ッポ,ppo,
ぴゃ,ピャ,pya,
ぴゅう,ピュー,pyuu,
ぴゅ,ピュ,pyu,
ぴょう,ピョー,pyou,
ぴょ,ピョ,pyo,
ぴい,ピー,pii,
ぱ,パ,pa,
ぴ,ピ,pi,
ぷう,プー,puu,
ぷ,プ,pu,
ぺ,ペ,pe,
ぽう,ポー,pou,
ぽ,ポ,po,
# B,,,
びゃ,ビャ,bya,
びゅう,ビュー,byuu,
びゅ,ビュ,byu,
びょう,ビョー,byou,
びょ,ビョ,byo,
びい,ビー,bii,
ば,バ,ba,
び,ビ,bi,
ぶ,ブ,bu,
べ,ベ,be,
ぼ,ボ,bo,
ゔ,ヴ,v,
# H,,,
ひゃ,ヒャ,,
ひゅう,ヒュー,,
ひゅ,ヒュ,,
ひょう,ヒョー,,
ひょ,ヒョ,,
は,ハ,ha,
ひ,ヒ,hi,
ふう,フー,huu,fuu
ふ,フ,fu,hu
へ,ヘ,he,
ほう,ホー,hou,
ほ,ホ,ho,
# M,,,
みゃ,ミャ,mya,
みゅう,ミュー,myuu,
みゅ,ミュ,myu,
みょう,ミョー,myou,
みょ,ミョ,myo,
ま,マ,ma,
みい,ミー,mii,
み,ミ,mi,
むう,ムー,muu,
む,ム,mu,
め,メ,me,
もう,モー,mou,
も,モ,mo,
# Y,,,
ゆう,ユー,yuu,
よう,ヨー,you,
や,ヤ,ya,
ゆ,ユ,yu,
よ,ヨ,yo,
# R,,,
っりゃ,ッリャ,rrya,
っりゅう,ッリュー,rryuu,
っりゅ,ッリュ,rryu,
っりょう,ッリョー,rryou,
っりょ,ッリョ,rryo,
りゃ,リャ,rya,
りゅう,リュー,ryuu,
りゅ,リュ,ryu,
りょう,リョー,ryou,
りょ,リョ,ryo,
っら,ッラ,rra,
っり,ッリ,rri,
っる,ッル,rru,
っれ,ッレ,rre,
っろ,ッロ,rro,
ら,ラ,ra,
り,リ,ri,
るう,ルー,ruu,
る,ル,ru,
れ,レ,re,
ろう,ロー,rou,
ろ,ロ,ro,
# W,,,
わ,ワ,wa,
を,ヲ,wo,
ん,ン,n,
っ,ッ,t,
# A,,,
あ,ア,a,
い,イ,i,
う,ウ,u,
え,エ,e,
お,オ,o,
ぁ,ァ,a,
ぃ,ィ,i,
ぅ,ゥ,u,
ぇ,ェ,e,
ぉ,ォ,o,
ゃ,ャ,ya,
ュ,ュ,yu,
ょ,ョ,yo,
